Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-53.10643	-95.61844	42.512	0.9853415	1.061363	0.0408394	0.7191	0.2809	0.2934295
6	-52.57177	-96.83318	44.2614	0.3780347	0.2434854	0.08052512	0.745756	0.254244	0.5626282
12	-57.96097	-102.1325	44.17157	0.3685307	0.2434854	0.05982987	0.892714	0.107286	0.8924348
18	-57.42973	-100.5287	43.09894	0.3204282	1.026128	0.05982987	0.991306	0.00869448	0.809451
24	-54.85687	-97.41949	42.56262	0.8940117	0.2872636	0.4424442	0.740656	0.259344	0.7371436
30	-55.21006	-100.0142	44.80409	0.6161843	0.04493901	0.05572575	0.577037	0.422963	0.7303973
36	-57.10638	-100.5946	43.48824	1.398206	0.06954376	0.003205873	0.649761	0.350239	0.9613143
42	-52.22163	-95.7917	43.57007	0.1757433	0.5026222	0.1495569	0.837116	0.162884	0.7420491
48	-49.76885	-93.69759	43.92874	0.1585366	0.5026222	0.04678008	0.9593	0.0407005	0.8735298
54	-48.11105	-91.75517	43.64412	0.6637125	0.5026222	0.01982433	0.819111	0.180889	0.7238074
60	-47.84668	-91.7528	43.90612	0.6551223	0.2549377	0.08762168	0.975468	0.0245319	0.3997108
66	-52.39789	-94.83748	42.43959	0.2332871	1.657436	0.1444849	0.975468	0.0245319	0.5891991
72	-50.8708	-93.91816	43.04736	0.4818757	0.709955	0.1444849	0.970328	0.0296721	0.6149161
78	-51.7176	-94.82971	43.11211	0.893622	0.4151865	0.1444849	0.918886	0.0811137	0.522926
84	-49.33878	-92.76815	43.42937	0.893622	0.4151865	0.006985869	0.713481	0.286519	0.3077122
90	-49.04085	-91.9127	42.87185	0.4972672	1.057624	0.09103179	0.892227	0.107773	0.4305723
96	-48.47559	-91.20971	42.73412	0.7053323	1.057624	0.06745612	0.949167	0.0508332	0.6736995
102	-52.837	-95.22361	42.38661	1.020592	1.313515	0.03234261	0.967509	0.0324913	0.3909521
108	-56.65507	-98.97416	42.3191	0.8593797	1.313515	0.08553146	0.943106	0.0568944	0.5096775
114	-49.49306	-93.22463	43.73156	1.160455	0.07981945	0.08395479	0.949739	0.0502611	0.2038504
120	-51.9613	-95.79411	43.83281	0.9731595	0.1309459	0.0699366	0.694022	0.305978	0.2270521
126	-55.14795	-97.44441	42.29646	1.241305	0.975879	0.01962718	0.746258	0.253742	0.2270521
132	-54.39715	-96.51691	42.11976	1.430743	0.975879	0.01962718	0.939303	0.0606966	0.2324681
138	-54.32526	-95.85379	41.52853	0.924858	2.987467	0.009160201	0.988515	0.0114848	0.4982904
144	-54.89105	-96.65773	41.76668	0.6788091	2.987467	0.0270446	0.997754	0.00224649	0.359459
