Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-48.55935	-92.86968	44.31032	0.00611232	0.0103957	0.00608682	0.047945	0.0535032	0.0185665	0.0110862	0.00530747	0.00563629	0.0280014	0.0163042	0.0162845	0.0353715	0.0475767	0.0574862	0.00156035	0.00628691	0.103017	0.00105476	0.05184	0.00137039	0.0107085	0.0172668	0.00269585	0.0154018	0.0133255	0.00158401	0.0721655	0.0512977	0.0121656	0.0108304	0.00194888	0.0599417	0.00752352	0.0131972	0.028293	1.40488	1.464102	0.5358985	0.866167	0.932327	0.978376	1.0221	1.07259	1.15451	0.1038891	0.3660255	0.008391304	0.00744637	0.0126646	0.00741531	0.0584093	0.0651806	0.0226187	0.0135058	0.00646586	0.00686644	0.0341128	0.0198627	0.0198386	0.0430915	0.0579606	0.0700329	0.00190091	0.00765907	0.1255	0.00128496	0.0631543	0.00166949	0.0130457	0.0210354	0.00328424	0.0187633	0.0162338	0.00192973	0.087916	0.0624937	0.0148208	0.0131942	0.00237423	0.0730243	0.00916558	0.0160776	0.774142	0.225858	0.7741424	0.8208457
36	-49.83401	-94.12623	44.29222	0.00397484	0.0120881	0.0115875	0.014745	0.0146761	0.00281658	0.0148237	0.00117589	0.0109956	0.0162977	0.00238532	0.0274854	0.0210522	0.0214936	0.0136927	0.00816507	0.0581697	0.00620504	0.00485454	0.0302827	0.0293842	0.0265489	0.109122	0.0140947	0.0367508	0.0110117	0.0234159	0.00867494	0.0156902	0.0129024	0.00107883	0.0074793	0.0161971	0.00211645	0.00438332	0.296398	1.29317	1.817405	0.182595	0.359859	0.60747	0.85598	1.16825	1.64617	2.77887	0.7390074	0.1004702	0.09550112	0.00645457	0.0196294	0.0188164	0.0239438	0.0238319	0.00457372	0.0240716	0.00190948	0.0178553	0.0264651	0.00387341	0.0446322	0.0341858	0.0349025	0.0222349	0.0132589	0.0944591	0.0100761	0.00788307	0.0491748	0.0477156	0.0431115	0.177199	0.0228878	0.059678	0.0178814	0.038024	0.0140868	0.0254786	0.0209516	0.00175186	0.0121453	0.0263017	0.00343681	0.00711788	0.742334	0.257666	0.7423342	0.6158186
72	-51.83492	-95.70894	43.87402	0.0103974	0.00486345	0.0319563	0.000874541	0.0359597	0.0251037	0.00783329	0.00953939	0.00920949	0.0608338	0.0552229	0.00562205	0.00675237	0.0570656	0.0471746	0.0155764	0.00329503	0.0139729	0.0052146	0.0231862	0.000133675	0.0125964	0.0937972	0.00812931	0.0445176	0.0129466	0.0436538	0.0500275	0.0671506	0.0621188	0.0304185	0.00599148	0.0585218	0.00353854	0.0463174	0.598132	1.16745	1.783688	0.2163122	0.570205	0.760354	0.918077	1.08923	1.31518	1.75375	0.4061906	0.1212725	0.2134761	0.0107244	0.00501639	0.0329612	0.000902042	0.0370905	0.0258931	0.00807961	0.00983936	0.00949909	0.0627467	0.0569594	0.00579884	0.0069647	0.0588601	0.048658	0.0160662	0.00339865	0.0144123	0.00537858	0.0239153	0.000137878	0.0129925	0.0967467	0.00838495	0.0459175	0.0133537	0.0450266	0.0516007	0.0692622	0.0640722	0.031375	0.00617988	0.0603621	0.00364981	0.0477739	0.984481	0.0155191	0.9844809	0.969513
108	-59.72847	-102.6022	42.87369	0.0062123	0.0202	0.0335907	0.000692378	0.0147987	0.0123271	0.0112608	0.00235694	0.0105627	0.00623846	0.0579019	0.0281367	0.00193025	0.0706602	0.019361	0.065554	0.0234912	0.00288022	0.0107659	0.0645459	0.00253879	0.00962934	0.023176	0.00204258	0.0133331	0.0172796	0.00431491	0.0533199	0.0082187	0.00512107	0.0106516	0.00372669	0.00311894	0.0314355	0.0298573	0.555554	1.18519	1.464141	0.5358592	0.247616	0.506226	0.808651	1.23663	1.9754	4.03851	1.009314	0.3659889	0.195312	0.00911923	0.0296522	0.0493088	0.00101636	0.0217235	0.0180953	0.0165301	0.00345982	0.0155053	0.00915763	0.0849959	0.0413027	0.00283347	0.103724	0.0284206	0.0962287	0.0344835	0.00422797	0.0158036	0.0947488	0.00372677	0.0141352	0.0340207	0.00299837	0.019572	0.0253652	0.00633398	0.0782699	0.0120645	0.00751738	0.0156358	0.00547052	0.00457838	0.0461451	0.0438285	0.951644	0.0483559	0.9516441	0.6812314
144	-51.25279	-93.20316	41.95037	0.0136408	0.0210841	0.00434042	0.0200883	0.0342406	0.000884015	0.00323354	0.00427562	0.00968502	0.0117758	0.0151639	0.00884235	0.00521375	0.058214	0.0206077	0.0114568	0.0215445	0.00576659	0.00803813	0.0190223	0.00624286	0.020323	0.0167544	0.0217454	0.0228307	1.46536e-05	0.0211915	0.00201036	0.0663586	0.00777942	0.0126256	0.00942834	0.0166265	0.0285	0.0484857	0.567527	1.1802	0.5721055	1.427895	0.926105	0.963253	0.988387	1.01175	1.03815	1.07979	0.05550805	2.495859	0.2003647	0.0228093	0.0352557	0.0072578	0.0335904	0.0572551	0.0014782	0.00540693	0.00714945	0.0161947	0.0196909	0.0253563	0.0147857	0.00871813	0.0973421	0.034459	0.0191573	0.0360255	0.00964255	0.0134409	0.031808	0.010439	0.033983	0.0280157	0.0363615	0.0381762	2.45028e-05	0.0354352	0.00336161	0.110961	0.0130083	0.0211118	0.0157655	0.0278019	0.047656	0.0810751	0.918347	0.0816534	0.9183466	0.5980352
180	-51.31362	-95.09598	43.78236	0.0162415	0.0198782	0.0179201	0.0198244	0.0171304	0.0618993	0.0113375	0.00583725	0.00401844	0.0188047	0.00686743	0.0389995	0.0603722	0.0888291	0.00722242	0.00231773	0.0475239	0.00036545	0.000737875	0.00669397	0.0317065	0.0141599	0.0264045	0.0117615	0.012535	4.76671e-06	0.0155602	0.00189481	0.00560854	0.00603283	0.0330175	0.0201563	0.0110611	0.0238952	0.0195006	0.020044	1.40832	1.511539	0.4884607	0.364091	0.610943	0.857504	1.16618	1.63681	2.74657	0.7305545	0.3231545	0.005930243	0.0236715	0.0289719	0.0261181	0.0288935	0.024967	0.0902164	0.016524	0.00850762	0.00585675	0.0274073	0.0100091	0.0568406	0.0879907	0.129466	0.0105265	0.00337802	0.0692646	0.000532633	0.00107543	0.00975626	0.0462112	0.0206376	0.0384838	0.0171421	0.0182693	6.94734e-06	0.0226785	0.00276162	0.00817428	0.00879267	0.048122	0.0293772	0.0161213	0.0348265	0.0284215	0.993892	0.00610828	0.9938917	0.6861205
216	-54.73767	-99.02373	44.28606	0.0173732	0.0576456	0.0262204	0.0170397	0.0516081	0.00541186	0.00485588	0.0115795	0.00231371	0.0706508	0.0371144	0.0411091	0.0251592	0.082672	0.0125056	0.0181995	0.0433444	0.00695774	0.0108234	0.0266741	0.0601207	0.0155288	0.0661042	0.00729487	0.00435917	0.0272937	0.0170868	0.0706259	0.0301485	0.0136287	0.0287366	0.016653	0.00511779	0.0781527	0.00427786	0.344858	1.27298	1.779744	0.2202557	0.678487	0.827642	0.942689	1.0608	1.20825	1.47387	0.280471	0.1237569	0.1128779	0.0171268	0.056828	0.0258485	0.016798	0.0508761	0.0053351	0.00478701	0.0114153	0.00228089	0.0696488	0.036588	0.040526	0.0248024	0.0814994	0.0123283	0.0179413	0.0427296	0.00685905	0.0106699	0.0262958	0.059268	0.0153086	0.0651666	0.00719141	0.00429735	0.0269066	0.0168444	0.0696242	0.0297208	0.0134354	0.028329	0.0164168	0.0050452	0.0770442	0.00421719	0.130501	0.869499	0.1305014	1.014388
252	-50.87645	-95.49404	44.61759	0.0167568	0.0293438	0.031999	0.0151434	0.0123808	0.0103721	0.00753858	0.0168717	0.00753199	0.00697285	0.00759993	0.00331702	0.0132645	0.0292187	0.0311835	0.023041	0.00150969	0.00145972	0.011685	0.00217053	0.00236041	0.00102817	0.00180002	0.0105228	0.00403321	7.5824e-05	0.0131222	0.0359497	0.0138378	0.00357974	0.0188674	0.0371757	0.0165249	0.0151515	0.00271588	0.0521889	1.39492	1.683424	0.3165758	0.533277	0.735926	0.908772	1.10039	1.35883	1.8752	0.4546032	0.1880547	0.01558897	0.0367389	0.0643355	0.0701569	0.0332016	0.0271446	0.0227406	0.0165281	0.0369907	0.0165137	0.0152878	0.0166626	0.00727248	0.0290821	0.0640612	0.0683691	0.0505168	0.00330995	0.00320039	0.0256191	0.00475883	0.00517514	0.00225423	0.00394649	0.0230709	0.00884269	0.000166242	0.0287702	0.0788188	0.030339	0.00784849	0.0413663	0.0815066	0.0362303	0.0332192	0.00595449	0.402264	0.597736	0.4022637	0.456106
288	-55.8975	-99.88983	43.99233	0.0627994	0.0474732	0.0678337	0.00924108	0.120241	0.083676	0.0872559	0.0169686	0.0269236	0.0228839	0.0349363	0.00211172	0.0574262	0.059306	0.014107	0.0047413	0.0421581	0.0295865	0.015542	0.0105999	0.018721	0.018013	0.034737	0.00663216	0.0216809	0.125365	0.00217794	0.0738239	0.0393958	0.0191728	0.000129696	0.0737476	0.0600583	0.152074	0.0449612	0.124782	1.36467	1.728742	0.2712577	0.746492	0.86711	0.95649	1.04549	1.15326	1.3396	0.2114035	0.1569104	0.03809893	0.0416856	0.0315122	0.0450273	0.00613413	0.079815	0.0555432	0.0579196	0.0112636	0.0178716	0.0151901	0.0231903	0.00140173	0.0381189	0.0393667	0.00936406	0.00314722	0.0279841	0.0196392	0.0103166	0.00703614	0.0124268	0.0119568	0.0230581	0.00440236	0.0143916	0.0832158	0.0014457	0.0490035	0.0261505	0.0127267	8.6091e-05	0.0489529	0.039866	0.100945	0.0298448	0.502902	0.497098	0.5029016	1.506501
324	-46.37509	-89.98648	43.61138	0.00238026	0.00276229	0.0146018	0.0136012	0.00976151	0.00303501	0.00304196	0.001285	0.0011148	0.003473	0.000992436	0.00249668	0.00758881	0.0114956	9.13657e-05	0.000251436	0.00863959	0.00155836	0.00966428	0.00738023	0.0192271	0.0020015	0.00102831	0.00210883	0.0057739	0.00221959	0.00372461	0.000269494	0.00185545	0.00925384	0.000309874	0.00737694	0.000305742	0.00181415	0.0128511	0.124445	1.36481	1.884458	0.1155421	0.125869	0.363939	0.72954	1.37073	2.74771	7.94475	1.498568	0.06131316	0.03799211	0.0135754	0.0157543	0.0832787	0.0775721	0.0556732	0.0173097	0.0173493	0.00732876	0.0063581	0.0198077	0.00566019	0.0142394	0.0432816	0.0655633	0.000521089	0.00143402	0.0492745	0.00888783	0.0551186	0.0420919	0.109659	0.0114152	0.00586481	0.0120274	0.0329305	0.0126591	0.0212427	0.00153702	0.0105822	0.0527778	0.00176732	0.0420732	0.00174375	0.0103467	0.073294	0.625024	0.374976	0.6250237	0.175336
